compile_success,num_object_types,num_generic_types,num_loops,num_conditionals,diff_ratio,semantic_issues,confidence_score
1,0,4,2,1,0.15,0,0.97
1,1,3,2,2,0.20,0,0.95
1,0,5,3,1,0.10,0,0.98
1,2,2,2,2,0.25,1,0.90
1,3,1,1,2,0.30,1,0.88
1,1,2,3,3,0.35,0,0.93
1,4,1,2,1,0.40,2,0.82
1,2,2,4,2,0.28,1,0.89
1,5,0,1,1,0.45,2,0.78
1,3,1,2,3,0.38,2,0.84
1,0,3,1,1,0.12,0,0.96
1,1,4,3,2,0.18,0,0.94
1,2,3,2,2,0.22,1,0.91
1,4,0,2,1,0.42,2,0.80
1,6,0,1,0,0.50,3,0.72
0,3,1,2,2,0.30,3,0.35
0,5,0,1,1,0.55,4,0.25
0,4,0,3,2,0.48,3,0.30
0,2,1,2,1,0.32,2,0.40
0,6,0,1,0,0.60,5,0.15
1,1,3,4,3,0.20,0,0.95
1,0,4,3,2,0.14,0,0.97
1,2,2,2,1,0.26,1,0.90
1,3,2,3,2,0.33,1,0.87
1,4,1,2,2,0.39,2,0.83
1,5,1,3,3,0.44,2,0.79
0,4,0,2,1,0.50,4,0.22
0,3,0,1,2,0.46,3,0.28
1,2,3,5,4,0.29,1,0.92
1,1,4,4,3,0.17,0,0.96
