diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,accuracy
9,5,0,1,0.67,0.8,0.91,57
17,0,0,4,0.78,0.62,0.84,60
16,5,0,0,0.97,0.92,0.91,49
3,5,0,1,0.78,0.72,0.95,57
8,1,0,0,0.7,0.69,0.77,73
25,5,0,3,0.94,0.68,0.74,35
12,0,1,2,0.82,0.85,0.78,98
18,0,1,2,0.78,0.76,0.98,92
22,2,0,2,0.82,0.93,0.96,48
15,3,1,1,0.77,0.82,0.85,83
20,1,1,1,0.97,0.76,0.86,88
14,0,0,5,0.81,0.7,0.73,64
20,0,1,4,0.71,0.62,0.94,82
10,2,0,1,0.7,0.71,0.94,58
6,0,0,1,0.77,0.88,0.66,86
2,3,0,0,0.82,0.74,0.8,75
1,0,0,5,0.58,0.88,0.68,67
13,1,1,0,0.85,0.66,0.76,96
23,1,1,0,0.62,0.9,0.8,87
13,2,0,2,0.97,0.67,0.87,56
25,1,1,3,0.76,0.89,0.72,76
21,1,0,5,0.76,0.83,0.95,41
18,1,0,0,0.88,0.83,0.72,69
16,0,1,5,0.92,0.93,0.79,86
21,4,1,5,0.81,0.73,0.95,60
14,5,0,5,0.96,0.71,0.68,36
25,3,0,0,0.76,0.86,0.72,45
10,2,1,3,0.77,0.84,0.78,86
18,1,0,2,0.77,0.93,0.74,62
4,5,1,5,0.82,0.92,0.89,73
4,0,0,4,0.86,0.69,0.72,69
5,3,0,4,0.69,0.79,0.85,63
4,4,1,3,0.67,0.85,0.74,82
17,4,1,5,0.68,0.6,0.8,61
11,3,0,1,0.88,0.75,0.68,63
21,1,0,3,0.61,0.81,0.73,52
7,2,1,2,0.72,0.63,0.92,91
14,5,0,4,0.9,0.96,0.84,45
23,3,1,3,0.66,0.91,0.9,69
7,0,0,5,0.69,0.76,0.82,63
5,1,0,1,0.72,0.79,0.67,77
8,0,1,1,0.87,0.63,0.67,100
19,1,0,3,0.87,0.9,0.85,62
22,1,1,1,0.78,0.75,0.91,85
10,3,0,2,0.97,0.7,0.93,63
0,1,0,0,0.8,0.85,0.76,84
11,1,1,1,0.9,0.7,0.72,95
21,2,0,3,0.9,0.85,0.8,51
3,0,1,0,0.95,0.91,0.97,100
0,4,0,3,0.87,0.74,0.72,66
5,2,1,5,0.86,0.67,0.84,85
16,5,0,2,0.56,0.89,0.72,35
14,1,1,0,0.94,0.91,0.85,98
24,3,1,3,0.83,0.69,0.66,66
9,1,1,4,0.86,0.91,0.81,90
17,2,1,5,0.84,0.82,0.97,75
22,0,1,0,0.78,0.78,0.95,94
4,1,0,5,0.6,0.71,0.95,55
11,1,0,0,0.65,0.96,0.9,75
18,2,1,0,0.8,0.62,0.91,86
11,2,0,2,0.7,0.95,0.7,65
25,1,1,4,0.62,0.64,0.85,71
10,1,1,2,0.97,0.81,0.9,96
15,2,1,5,0.94,0.65,0.77,75
11,4,0,1,0.87,0.89,0.78,58
11,1,0,4,0.66,0.63,0.7,50
1,1,0,4,0.82,0.66,0.79,70
22,0,1,1,0.78,0.88,0.84,91
17,3,1,5,0.68,0.96,0.96,70
4,4,1,3,0.84,0.76,0.9,83
19,4,0,1,0.66,0.64,0.72,47
15,5,0,4,0.63,0.88,0.92,35
25,4,0,2,0.92,0.74,0.9,43
24,1,0,2,0.89,0.96,0.8,48
15,0,1,3,0.59,0.69,0.81,89
25,1,1,4,0.67,0.87,0.67,72
5,0,1,1,0.67,0.77,0.89,100
21,0,1,1,0.75,0.62,0.74,89
22,5,1,3,0.75,0.94,0.79,60
20,5,0,0,0.68,0.78,0.75,46
8,2,1,0,0.91,0.89,0.78,98
19,5,1,2,0.76,0.87,0.88,66
11,0,1,3,0.61,0.67,0.67,92
