diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,confidence
9,5,0,1,0.67,0.8,0.91,0.701
17,0,0,4,0.78,0.62,0.84,0.681
16,5,0,0,0.97,0.92,0.91,0.804
3,5,0,1,0.78,0.72,0.95,0.738
8,1,0,0,0.7,0.69,0.77,0.686
25,5,0,3,0.94,0.68,0.74,0.659
12,0,1,2,0.82,0.85,0.78,0.817
18,0,1,2,0.78,0.76,0.98,0.798
22,2,0,2,0.82,0.93,0.96,0.777
15,3,1,1,0.77,0.82,0.85,0.772
20,1,1,1,0.97,0.76,0.86,0.816
14,0,0,5,0.81,0.7,0.73,0.702
20,0,1,4,0.71,0.62,0.94,0.72
10,2,0,1,0.7,0.71,0.94,0.711
6,0,0,1,0.77,0.88,0.66,0.757
2,3,0,0,0.82,0.74,0.8,0.746
1,0,0,5,0.58,0.88,0.68,0.721
13,1,1,0,0.85,0.66,0.76,0.753
23,1,1,0,0.62,0.9,0.8,0.731
13,2,0,2,0.97,0.67,0.87,0.756
25,1,1,3,0.76,0.89,0.72,0.747
21,1,0,5,0.76,0.83,0.95,0.739
18,1,0,0,0.88,0.83,0.72,0.739
16,0,1,5,0.92,0.93,0.79,0.86
21,4,1,5,0.81,0.73,0.95,0.749
14,5,0,5,0.96,0.71,0.68,0.699
25,3,0,0,0.76,0.86,0.72,0.672
10,2,1,3,0.77,0.84,0.78,0.789
18,1,0,2,0.77,0.93,0.74,0.74
4,5,1,5,0.82,0.92,0.89,0.845
4,0,0,4,0.86,0.69,0.72,0.746
5,3,0,4,0.69,0.79,0.85,0.722
4,4,1,3,0.67,0.85,0.74,0.757
17,4,1,5,0.68,0.6,0.8,0.654
11,3,0,1,0.88,0.75,0.68,0.713
21,1,0,3,0.61,0.81,0.73,0.644
7,2,1,2,0.72,0.63,0.92,0.749
14,5,0,4,0.9,0.96,0.84,0.788
23,3,1,3,0.66,0.91,0.9,0.749
7,0,0,5,0.69,0.76,0.82,0.726
5,1,0,1,0.72,0.79,0.67,0.712
8,0,1,1,0.87,0.63,0.67,0.757
19,1,0,3,0.87,0.9,0.85,0.779
22,1,1,1,0.78,0.75,0.91,0.759
10,3,0,2,0.97,0.7,0.93,0.779
0,1,0,0,0.8,0.85,0.76,0.789
11,1,1,1,0.9,0.7,0.72,0.779
21,2,0,3,0.9,0.85,0.8,0.748
3,0,1,0,0.95,0.91,0.97,0.942
0,4,0,3,0.87,0.74,0.72,0.744
5,2,1,5,0.86,0.67,0.84,0.794
16,5,0,2,0.56,0.89,0.72,0.634
14,1,1,0,0.94,0.91,0.85,0.87
24,3,1,3,0.83,0.69,0.66,0.683
9,1,1,4,0.86,0.91,0.81,0.855
17,2,1,5,0.84,0.82,0.97,0.819
22,0,1,0,0.78,0.78,0.95,0.785
4,1,0,5,0.6,0.71,0.95,0.711
11,1,0,0,0.65,0.96,0.9,0.768
18,2,1,0,0.8,0.62,0.91,0.731
11,2,0,2,0.7,0.95,0.7,0.732
25,1,1,4,0.62,0.64,0.85,0.656
10,1,1,2,0.97,0.81,0.9,0.872
15,2,1,5,0.94,0.65,0.77,0.764
11,4,0,1,0.87,0.89,0.78,0.764
11,1,0,4,0.66,0.63,0.7,0.632
1,1,0,4,0.82,0.66,0.79,0.74
22,0,1,1,0.78,0.88,0.84,0.793
17,3,1,5,0.68,0.96,0.96,0.802
4,4,1,3,0.84,0.76,0.9,0.813
19,4,0,1,0.66,0.64,0.72,0.587
15,5,0,4,0.63,0.88,0.92,0.695
25,4,0,2,0.92,0.74,0.9,0.711
24,1,0,2,0.89,0.96,0.8,0.777
15,0,1,3,0.59,0.69,0.81,0.696
25,1,1,4,0.67,0.87,0.67,0.704
5,0,1,1,0.67,0.77,0.89,0.793
21,0,1,1,0.75,0.62,0.74,0.689
22,5,1,3,0.75,0.94,0.79,0.75
20,5,0,0,0.68,0.78,0.75,0.63
8,2,1,0,0.91,0.89,0.78,0.853
19,5,1,2,0.76,0.87,0.88,0.76
11,0,1,3,0.61,0.67,0.67,0.681
25,2,1,4,0.59,0.78,0.66,0.643
18,4,0,2,0.74,0.71,0.73,0.638
17,2,1,4,0.97,0.91,0.91,0.873
25,0,0,4,0.87,0.66,0.68,0.662
20,0,1,1,0.84,0.97,0.81,0.838
19,3,0,4,0.58,0.7,0.72,0.59
13,4,1,3,0.66,0.74,0.81,0.705
12,4,1,2,0.64,0.64,0.88,0.687
5,2,1,1,0.59,0.63,0.91,0.715
23,2,0,3,0.78,0.87,0.84,0.72
4,1,0,2,0.75,0.7,0.85,0.733
9,4,1,4,0.73,0.97,0.69,0.785
11,0,1,5,0.89,0.97,0.67,0.855
17,2,0,1,0.92,0.8,0.74,0.741
0,0,1,2,0.57,0.89,0.72,0.782
15,3,1,5,0.83,0.88,0.92,0.822
13,2,1,2,0.97,0.76,0.72,0.803
17,1,1,1,0.71,0.74,0.88,0.746
12,5,1,5,0.78,0.82,0.82,0.762
25,1,1,2,0.7,0.93,0.67,0.731
14,4,1,1,0.76,0.61,0.73,0.677
10,0,0,4,0.87,0.68,0.81,0.744
24,0,1,3,0.56,0.68,0.94,0.68
23,0,0,2,0.88,0.93,0.98,0.812
3,0,1,1,0.63,0.71,0.76,0.744
9,2,0,1,0.72,0.84,0.72,0.715
14,3,0,5,0.56,0.8,0.73,0.632
14,2,1,0,0.69,0.78,0.69,0.716
21,2,0,5,0.76,0.87,0.77,0.706
19,0,0,5,0.87,0.94,0.95,0.82
3,4,1,2,0.93,0.61,0.74,0.767
5,5,0,0,0.62,0.76,0.66,0.638
23,1,1,4,0.67,0.71,0.67,0.663
14,5,1,3,0.91,0.73,0.85,0.774
9,1,0,2,0.58,0.75,0.83,0.677
20,4,1,5,0.58,0.61,0.72,0.601
4,4,1,4,0.77,0.64,0.73,0.722
14,4,0,3,0.95,0.73,0.84,0.742
17,5,1,3,0.8,0.75,0.93,0.753
12,1,0,1,0.61,0.8,0.93,0.711
17,1,0,0,0.94,0.95,0.73,0.798
10,0,0,5,0.95,0.89,0.88,0.845
20,2,1,1,0.81,0.81,0.96,0.795
23,3,0,2,0.93,0.76,0.67,0.689
9,4,1,4,0.67,0.73,0.84,0.725
22,2,0,5,0.85,0.86,0.76,0.725
25,4,0,3,0.67,0.64,0.95,0.616
19,3,0,0,0.61,0.65,0.78,0.596
8,0,0,3,0.67,0.9,0.84,0.762
4,3,1,1,0.71,0.92,0.84,0.819
18,3,1,3,0.81,0.85,0.65,0.743
19,0,1,1,0.72,0.66,0.93,0.737
5,0,1,0,0.98,0.65,0.86,0.844
23,1,0,2,0.79,0.87,0.92,0.747
10,1,1,4,0.78,0.86,0.93,0.836
19,5,0,1,0.91,0.61,0.84,0.669
1,4,0,0,0.91,0.79,0.72,0.767
19,1,0,2,0.97,0.94,0.68,0.787
10,3,0,1,0.56,0.93,0.74,0.687
2,0,0,5,0.73,0.91,0.73,0.781
13,4,0,0,0.83,0.91,0.8,0.755
18,0,0,5,0.87,0.97,0.8,0.802
3,3,1,1,0.87,0.83,0.72,0.819
0,4,1,5,0.62,0.81,0.87,0.77
23,2,0,3,0.59,0.68,0.73,0.584
22,5,1,2,0.84,0.76,0.93,0.751
3,1,1,1,0.77,0.63,0.95,0.792
19,2,0,0,0.86,0.92,0.68,0.74
10,1,0,4,0.78,0.71,0.78,0.711
23,4,1,1,0.68,0.97,0.89,0.763
13,0,0,0,0.73,0.9,0.81,0.758
15,5,0,2,0.72,0.61,0.78,0.613
13,0,1,0,0.79,0.96,0.7,0.822
3,2,1,4,0.61,0.71,0.77,0.723
3,3,1,3,0.77,0.75,0.84,0.789
23,5,0,4,0.92,0.62,0.9,0.674
16,0,1,0,0.65,0.7,0.68,0.688
25,3,1,0,0.87,0.76,0.86,0.753
8,5,0,0,0.69,0.71,0.74,0.65
1,2,0,0,0.97,0.62,0.68,0.743
25,2,1,0,0.84,0.61,0.94,0.723
2,3,0,0,0.76,0.71,0.66,0.691
23,4,0,4,0.78,0.79,0.88,0.687
4,4,1,5,0.75,0.64,0.84,0.738
11,0,0,3,0.89,0.89,0.82,0.811
7,5,1,1,0.65,0.75,0.93,0.741
2,3,1,5,0.98,0.67,0.68,0.799
19,3,0,1,0.96,0.79,0.81,0.749
0,1,1,3,0.79,0.88,0.71,0.835
21,0,1,3,0.92,0.73,0.71,0.767
25,0,1,1,0.88,0.82,0.89,0.805
7,4,0,2,0.84,0.87,0.65,0.736
18,2,1,0,0.73,0.94,0.86,0.796
3,5,0,5,0.87,0.73,0.95,0.768
20,4,1,2,0.9,0.81,0.68,0.749
18,4,1,3,0.87,0.63,0.73,0.703
18,3,0,1,0.69,0.9,0.9,0.722
5,0,1,5,0.69,0.65,0.94,0.773
