source,target,program,diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,behaviour_score,correct
python,java,sum_two,13,1,1,0,0.028,0.875,0.75,100.0,1
python,c,sum_two,12,2,0,1,0.022,0.625,0.567,0.0,0
python,c++,sum_two,23,0,1,0,0.052,0.375,0.367,100.0,1
python,java,max_of_three,32,1,1,0,0.169,0.9,0.847,100.0,1
python,c,max_of_three,31,2,0,1,0.011,0.65,0.66,0.0,0
python,c++,max_of_three,42,0,1,0,0.16,0.4,0.46,100.0,1
python,java,factorial,18,1,1,0,0.202,0.812,0.77,100.0,1
python,c,factorial,17,2,1,0,0.025,0.562,0.6,33.33,0
python,c++,factorial,19,0,1,0,0.223,0.562,0.6,100.0,1
python,java,classify_grade,26,1,1,0,0.205,0.708,0.667,100.0,1
python,c,classify_grade,25,2,1,0,0.387,0.458,0.567,25.0,0
python,c++,classify_grade,27,0,1,0,0.213,0.458,0.567,100.0,1
python,java,count_down,18,1,1,0,0.155,0.875,0.833,100.0,1
python,c,count_down,17,2,1,0,0.058,0.625,0.7,0.0,0
python,c++,count_down,19,0,1,0,0.162,0.625,0.7,100.0,1
python,java,sum_list,18,1,1,0,0.084,0.812,0.77,100.0,1
python,c,sum_list,17,2,1,0,0.02,0.562,0.6,33.33,0
python,c++,sum_list,19,0,1,0,0.168,0.562,0.6,100.0,1
python,java,gcd,26,1,1,0,0.13,0.875,0.84,100.0,1
python,c,gcd,25,2,0,1,0.023,0.625,0.656,0.0,0
python,c++,gcd,36,0,1,0,0.114,0.5,0.556,100.0,1
python,java,average_function,30,1,0,1,0.104,0.875,0.833,0.0,0
python,c,average_function,31,2,0,1,0.098,0.675,0.64,0.0,0
python,c++,average_function,31,0,0,1,0.169,0.683,0.707,0.0,0
python,java,power_function,25,1,0,1,0.026,0.9,0.806,0.0,0
python,c,power_function,24,2,0,1,0.039,0.75,0.7,0.0,0
python,c++,power_function,35,0,1,0,0.023,0.588,0.57,100.0,1
python,java,counter_class,33,1,0,1,0.127,0.917,0.893,0.0,0
python,c,counter_class,31,2,0,1,0.052,0.732,0.786,0.0,0
python,c++,counter_class,35,0,0,1,0.148,0.75,0.8,0.0,0
java,python,sum_two,19,0,1,0,0.486,0.75,0.75,0.0,0
java,c,sum_two,24,0,0,1,0.207,0.65,0.72,0.0,0
java,c++,sum_two,24,0,0,1,0.483,0.667,0.733,0.0,0
java,python,square_function,22,0,1,0,0.136,0.75,0.7,0.0,0
java,c,square_function,27,0,0,1,0.107,0.775,0.82,0.0,0
java,c++,square_function,23,0,0,1,0.308,0.812,0.85,0.0,0
